DrugBank ID,Name,Formula,CAS,Vina Score,MW (g/mol),HBD,HBA,RB,NOA,Rings,LogP,Primary Targets,Clinical Indication & Mechanism
DB00872,Conivaptan,C32H26N4O2,210101-16-9,-9.8,498.57,1,3,6,6,6,5.6,Vasopressin V1a & V2 receptors,Dual vasopressin receptor antagonist; induces free-water excretion (aquaresis) for euvolemic/hypervolemic hyponatremia.
DB09280,Lumacaftor,C24H18F2N2O5,936727-05-8,-9.5,452.41,2,4,7,7,5,4.4,CFTR (Cystic fibrosis transmembrane conductance regulator),CFTR corrector; used in combination (Orkambi) to improve lung function and reduce exacerbations in Cystic Fibrosis.
DB11986,Entrectinib,C31H34F2N6O2,1108743-60-7,-9.5,560.65,2,2,8,8,6,5.7,"TRKA/B/C (NGF/NT-3/BDNF receptors), ROS1, JAK2, ACK1",Multi-kinase inhibitor; suppresses survival and proliferation pathways to trigger tumor apoptosis in NTRK/ROS1+ cancers.
DB04868,Nilotinib,C28H22F3N7O,641571-10-0,-9.4,529.52,2,5,7,8,5,4.9,"Tyrosine-protein kinase ABL1, c-Kit, PDGF receptor",Signal transduction inhibitor; targets aberrant BCR-ABL signaling to treat Chronic Myeloid Leukemia (CML).
DB12457,Rimegepant,C28H28F2N6O3,1289023-67-1,-9.3,534.57,1,4,5,9,6,3.5,Calcitonin gene-related peptide type 1 receptor (CGRP),CGRP receptor antagonist; rapidly blocks pronociceptive migraine pathways to abort acute migraine attacks.
DB01126,Dutasteride,C27H30F6N2O2,164656-23-9,-9.1,528.53,2,2,3,4,5,6.5,Steroid 5α-reductase (Isoforms 1 & 2),Selective 5α-reductase inhibitor; reduces circulating DHT levels to shrink the prostate and manage BPH symptoms.
DB08827,Lomitapide,C39H37F6N3O2,182431-12-5,-9.1,693.72,2,2,12,5,6,8.6,Microsomal triglyceride transfer protein (MTP) large subunit,MTP inhibitor; directly prevents assembly of ApoB-containing lipoproteins to treat severe hypercholesterolemia.
DB06210,Eltrombopag,C25H22N4O4,496775-61-2,-9,442.47,3,4,7,8,4,4.7,Thrombopoietin receptor (c-Mpl),Thrombopoietin receptor agonist; stimulates megakaryocyte proliferation to increase platelet production.
DB09335,Alatrofloxacin,C26H25F3N6O5,146961-76-4,-9,558.52,4,6,10,11,5,0.9,Bacterial DNA Topoisomerase IV / DNA Gyrase,Fluoroquinolone prodrug antibiotic; disrupts bacterial replication pathways.
DB06595,Midostaurin,C35H30N4O4,120685-11-2,-9,570.65,1,2,4,8,9,4.8,"PKC-alpha, VEGFR2, PDGFR-alpha/beta, FLT3, c-Kit",Multi-kinase inhibitor; blocks constitutive aberrant signaling cascades to treat AML and systemic mastocytosis (ASM).
