#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALDH1A2	HOXC6	9606.ENSP00000249750	9606.ENSP00000243108	0	0	0	0	0	0	0	0.430	0.430
ALDH1A2	TBX5	9606.ENSP00000249750	9606.ENSP00000309913	0	0	0	0	0.049	0	0	0.491	0.495
ALDH1A2	WT1	9606.ENSP00000249750	9606.ENSP00000368370	0	0	0	0	0.097	0.071	0	0.536	0.577
ALDH1A2	TCF21	9606.ENSP00000249750	9606.ENSP00000356857	0	0	0	0	0.074	0	0	0.576	0.590
ALDH1A2	ALDH1A3	9606.ENSP00000249750	9606.ENSP00000332256	0	0	0.053	0.975	0.042	0	0.900	0.059	0.903
APOB	TIMP1	9606.ENSP00000233242	9606.ENSP00000218388	0	0	0	0	0	0	0	0.419	0.418
APOB	PLAT	9606.ENSP00000233242	9606.ENSP00000220809	0	0	0	0	0.045	0.063	0	0.432	0.447
APOB	VTN	9606.ENSP00000233242	9606.ENSP00000226218	0	0	0	0	0.244	0	0	0.402	0.529
APOB	CLDN1	9606.ENSP00000233242	9606.ENSP00000295522	0	0	0	0	0.042	0	0	0.492	0.493
APOB	VCAM1	9606.ENSP00000233242	9606.ENSP00000294728	0	0	0	0	0.059	0	0	0.573	0.581
APOB	BCHE	9606.ENSP00000233242	9606.ENSP00000264381	0	0	0	0	0.133	0.091	0	0.525	0.593
APOB	SDC4	9606.ENSP00000233242	9606.ENSP00000361818	0	0	0	0	0	0	0.500	0.285	0.627
C1R	PLAT	9606.ENSP00000444271	9606.ENSP00000220809	0	0	0.132	0.580	0.086	0	0	0.456	0.531
C1R	VTN	9606.ENSP00000444271	9606.ENSP00000226218	0	0	0	0	0.123	0	0	0.490	0.534
C1R	C7	9606.ENSP00000444271	9606.ENSP00000322061	0	0	0	0	0.138	0	0	0.392	0.454
C1R	PTGDS	9606.ENSP00000444271	9606.ENSP00000360687	0	0	0	0	0.086	0.121	0	0.391	0.468
C1R	CFI	9606.ENSP00000444271	9606.ENSP00000378131	0	0	0.117	0.584	0.262	0	0	0.298	0.504
C1R	CFB	9606.ENSP00000444271	9606.ENSP00000416561	0	0	0	0.553	0.279	0	0	0.366	0.524
C7	VTN	9606.ENSP00000322061	9606.ENSP00000226218	0	0	0	0	0.161	0	0.500	0.323	0.691
